Station;Ligne;Corresp. 1;Corresp. 2;Corresp. 3;Sens;Terminus 1;Terminus 2;Lat;Lon;Geopoint;Geopoint2;
Patriotismo;9;0;0;0;2;Tacubaya;Pantitlán;19.40559422;-99.1784656;19.40559422,-99.1784656;-99.1784656,19.40559422;
Puebla;9;0;0;0;11;Tacubaya;Pantitlán;19.40697045;-99.08233523;19.40697045,-99.08233523;-99.08233523,19.40697045;
Tacubaya;9;1;7;0;1;Tacubaya;Pantitlán;19.40192086;-99.18734908;19.40192086,-99.18734908;-99.18734908,19.40192086;
Velódromo;9;0;0;0;9;Tacubaya;Pantitlán;19.40811392;-99.10283804;19.40811392,-99.10283804;-99.10283804,19.40811392;
Atlalilco;10;8;0;0;9;Mixcoac;Tláhuac;19.35570839;-99.10157204;19.35570839,-99.10157204;-99.10157204,19.35570839;
Calle 11;10;0;0;0;13;Mixcoac;Tláhuac;19.32025578;-99.08486724;19.32025578,-99.08486724;-99.08486724,19.32025578;
Culhuacán;10;0;0;0;10;Mixcoac;Tláhuac;19.33887391;-99.10894275;19.33887391,-99.10894275;-99.10894275,19.33887391;
Eje Central;10;0;0;0;6;Mixcoac;Tláhuac;19.36118453;-99.15133238;19.36118453,-99.15133238;-99.15133238,19.36118453;
Ermita;10;2;0;0;7;Mixcoac;Tláhuac;19.36030391;-99.1448307;19.36030391,-99.1448307;-99.1448307,19.36030391;
Hospital 20 de Nov.;10;0;0;0;3;Mixcoac;Tláhuac;19.37192372;-99.17099833;19.37192372,-99.17099833;-99.17099833,19.37192372;
Insurgentes Sur;10;0;0;0;2;Mixcoac;Tláhuac;19.37360387;-99.17859435;19.37360387,-99.17859435;-99.17859435,19.37360387;
Lomas Estrella;10;0;0;0;12;Mixcoac;Tláhuac;19.322002;-99.096696;19.322002,-99.096696;-99.096696,19.322002;
Mexicaltzingo;10;0;0;0;8;Mixcoac;Tláhuac;19.35744944;-99.12191391;19.35744944,-99.12191391;-99.12191391,19.35744944;
Mixcoac;10;7;0;0;1;Mixcoac;Tláhuac;19.37625563;-99.18774605;19.37625563,-99.18774605;-99.18774605,19.37625563;
Nopalera;10;0;0;0;17;Mixcoac;Tláhuac;19.29939771;-99.04621124;19.29939771,-99.04621124;-99.04621124,19.29939771;
Olivos;10;0;0;0;16;Mixcoac;Tláhuac;19.30328601;-99.05831337;19.30328601,-99.05831337;-99.05831337,19.30328601;
Parque de los Venados;10;0;0;0;5;Mixcoac;Tláhuac;19.37046623;-99.15766239;19.37046623,-99.15766239;-99.15766239,19.37046623;
Periférico Ote;10;0;0;0;14;Mixcoac;Tláhuac;19.317492;-99.074719;19.317492,-99.074719;-99.074719,19.317492;
San Andrés Tomatlán;10;0;0;0;11;Mixcoac;Tláhuac;19.3272315;-99.10259128;19.3272315,-99.10259128;-99.10259128,19.3272315;
Tezonco;10;0;0;0;15;Mixcoac;Tláhuac;19.306124;-99.065867;19.306124,-99.065867;-99.065867,19.306124;
Tláhuac;10;0;0;0;20;Mixcoac;Tláhuac;19.28680057;-99.01443243;19.28680057,-99.01443243;-99.01443243,19.28680057;
Tlaltenco;10;0;0;0;19;Mixcoac;Tláhuac;19.294555;-99.023829;19.294555,-99.023829;-99.023829,19.294555;
Zapata;10;3;0;0;4;Mixcoac;Tláhuac;19.37073951;-99.1645503;19.37073951,-99.1645503;-99.1645503,19.37073951;
Zapotitlán;10;0;0;0;18;Mixcoac;Tláhuac;19.29639028;-99.03402328;19.29639028,-99.03402328;-99.03402328,19.29639028;
Acatitla;11;0;0;0;7;Pantitlán;La Paz;19.3642515;-99.00597811;19.3642515,-99.00597811;-99.00597811,19.3642515;
Agrícola Oriental;11;0;0;0;2;Pantitlán;La Paz;19.40404596;-99.06982541;19.40404596,-99.06982541;-99.06982541,19.40404596;
Canal de San Juan;11;0;0;0;3;Pantitlán;La Paz;19.39821706;-99.05969739;19.39821706,-99.05969739;-99.05969739,19.39821706;
Guelatao;11;0;0;0;5;Pantitlán;La Paz;19.38459525;-99.03579354;19.38459525,-99.03579354;-99.03579354,19.38459525;
